道具ID,道具代码,道具英文名称,项目类型类型,价格,项目天数,简短描述,道具中文名称,详细描述
1010000701,B0007,Guard Helmet,D,3500,30,Guard Helmet,普通头盔,由强化塑料来构成防弹膜的头盔，可以抵御大风和弹片。 [斯沃特 角色专用]
1010000801,B0008,Assert Bag,D,3000,30,Assert Bag,战斗背包,可以存放很多军用装备的白色背包. [斯沃特 角色专用]
1010000901,B0009,Holder Helmet,D,3500,30,Holder Helmet,初级头盔,可以安装夜视镜或其它装备的防弹头盔。 [奥摩 角色专用]
1010001001,B0010,Patrol Bag,D,3000,30,Patrol Bag,巡逻背包,为了提升持续作战能力而设计的多功能背包，空间较大。 [奥摩 角色专用]
1010001101,B0011,SAS Helmet,D,3500,30,SAS Helmet,赛斯头盔,按照<赛斯>部队的需求而定做的特殊头盔，采用复合材料制作，设计独特。 [赛斯 角色专用]
1010001201,B0012,Tectical Pack,D,3000,30,Tectical Pack,战术背包,为了应对各种突发状况而设计的背包。 [赛斯 角色专用]
1010001301,B0013,SWAT Default Pouch,D,0,999999999,SWAT Default Pouch,斯沃特 Pouch,斯沃特专用道具
1010001401,B0014,OMOH Default Pouch,D,0,999999999,OMOH Default Pouch,奥摩 Pouch,
1010003601,B0036,SAS Default Pouch,D,0,999999999,SAS Default Pouch,赛斯 Pouch,
1010005801,B0058,SWAT Normal Halmet 30 Day,D,2500,30,SWAT Normal Halmet 30 Day,基础头盔,斯沃特专用道具
1010005901,B0059,SWAT Normal Back Pack 30 Day,D,2500,30,SWAT Normal Back Pack 30 Day,基础背包,斯沃特专用道具
1010006001,B0060,OMOH Normal Halmet 30 Day,D,2500,30,OMOH Normal Halmet 30 Day,基础头盔,奥摩专用道具
1010006101,B0061,OMOH Normal Back Pack 30 Day,D,2500,30,OMOH Normal Back Pack 30 Day,基础背包,奥摩专用道具
1010006201,B0062,SAS Normal Halmet 30 Day,D,2500,30,SAS Normal Halmet 30 Day,基础头盔,赛斯专用道具
1010006301,B0063,SAS Normal Back Pack 30 Day,D,2500,30,SAS Normal Back Pack 30 Day,基础背包,赛斯专用道具
1010006401,B0064,SWAT HASA SET Halmet1 30 Day,D,3000,30,SWAT HASA SET Halmet1 30 Day,基础下士头盔,斯沃特专用道具
1010006501,B0065,SWAT HASA SET Back Pack1 30 Day,D,3000,30,SWAT HASA SET Back Pack1 30 Day,基础下士背包,斯沃特专用道具
1010006601,B0066,SAS HASA SET Halmet1 30 Day,D,3000,30,SAS HASA SET Halmet1 30 Day,基础下士头盔,赛斯专用道具
1010006701,B0067,SAS HASA SET Back Pack1 30 Day,D,3000,30,SAS HASA SET Back Pack1 30 Day,基础下士背包,赛斯专用道具
1010006801,B0068,OMOH HASA SET Halmet1 30 Day,D,3000,30,OMOH HASA SET Halmet1 30 Day,基础下士头盔,奥摩专用道具
1010006901,B0069,OMOH HASA SET Back Pack1 30 Day,D,3000,30,OMOH HASA SET Back Pack1 30 Day,基础下士背包,奥摩专用道具
1010007001,B0070,SWAT HASA SET Halmet2 30 Day,D,300,30,SWAT HASA SET Halmet2 30 Day,强化下士头盔,斯沃特专用道具
1010007101,B0071,SWAT HASA SET Back Pack2 30 Day,D,300,30,SWAT HASA SET Back Pack2 30 Day,强化下士背包,斯沃特专用道具
1010007201,B0072,SWAT HASA SET legpouch2 30 Day,D,300,30,SWAT HASA SET legpouch2 30 Day,强化下士腿兜,斯沃特专用道具
1010007301,B0073,SWAT HASA SET Goggle2 30 Day,D,300,30,SWAT HASA SET Goggle2 30 Day,强化下士护目镜,斯沃特专用道具
1010007401,B0074,SAS HASA SET Halmet2 30 Day,D,300,30,SAS HASA SET Halmet2 30 Day,强化下士头盔,赛斯专用道具
1010007501,B0075,SAS HASA SET Back Pack2 30 Day,D,300,30,SAS HASA SET Back Pack2 30 Day,强化下士背包,赛斯专用道具
1010007601,B0076,SAS HASA SET legpouch2 30 Day,D,300,30,SAS HASA SET legpouch2 30 Day,强化下士腿兜,赛斯专用道具
1010007701,B0077,SAS HASA SET Goggle2 30 Day,D,300,30,SAS HASA SET Goggle2 30 Day,强化下士护目镜,赛斯专用道具
1010007801,B0078,OMOH HASA SET Halmet2 30 Day,D,300,30,OMOH HASA SET Halmet2 30 Day,强化下士头盔,奥摩专用道具
1010007901,B0079,OMOH HASA SET Back Pack2 30 Day,D,300,30,OMOH HASA SET Back Pack2 30 Day,强化下士背包,奥摩专用道具
1010008001,B0080,OMOH HASA SET legpouch2 30 Day,D,300,30,OMOH HASA SET legpouch2 30 Day,强化下士腿兜,奥摩专用道具
1010008101,B0081,OMOH HASA SET Goggle2 30 Day,D,300,30,OMOH HASA SET Goggle2 30 Day,强化下士护目镜,奥摩专用道具
1010008201,B0082,SWAT SOWE SET_ Halmet1,D,4000,30,SWAT SOWE SET_ Halmet1,基础少尉头盔,斯沃特专用道具
1010008301,B0083,SWAT SOWE SET_ Back Pack1,D,4000,30,SWAT SOWE SET_ Back Pack1,基础少尉背包,斯沃特专用道具
1010008401,B0084,SAS SOWE SET_ Halmet1,D,4000,30,SAS SOWE SET_ Halmet1,基础少尉头盔,赛斯专用道具
1010008501,B0085,SAS SOWE SET_ BackPack1,D,4000,30,SAS SOWE SET_ BackPack1,基础少尉背包,赛斯专用道具
1010008601,B0086,OMOH SOWE SET_ Halmet1,D,4000,30,OMOH SOWE SET_ Halmet1,基础少尉头盔,奥摩专用道具
1010008701,B0087,OMOH SOWE SET_ Back Pack1,D,4000,30,OMOH SOWE SET_ Back Pack1,基础少尉背包,奥摩专用道具
1010008801,B0088,SWAT SOWE SET_ Halmet2,D,500,30,SWAT SOWE SET_ Halmet2,强化少尉头盔,斯沃特专用道具
1010008901,B0089,SWAT SOWE SET_ Back Pack2,D,500,30,SWAT SOWE SET_ Back Pack2,强化少尉背包,斯沃特专用道具
1010009001,B0090,SWAT SOWE SET_ legpouch2,D,500,30,SWAT SOWE SET_ legpouch2,强化少尉腿兜,斯沃特专用道具
1010009101,B0091,SWAT SOWE SET_ Goggle2,D,500,30,SWAT SOWE SET_ Goggle2,强化少尉护目镜,斯沃特专用道具
1010009201,B0092,SAS SOWE SET_ Halmet2,D,500,30,SAS SOWE SET_ Halmet2,强化少尉头盔,赛斯专用道具
1010009301,B0093,SAS SOWE SET_ Back Pack2,D,500,30,SAS SOWE SET_ Back Pack2,强化少尉背包,赛斯专用道具
1010009401,B0094,SAS SOWE SET_ legpouch2,D,500,30,SAS SOWE SET_ legpouch2,强化少尉腿兜,赛斯专用道具
1010009501,B0095,SAS SOWE SET_ Goggle2,D,500,30,SAS SOWE SET_ Goggle2,强化少尉护目镜,赛斯专用道具
1010009601,B0096,OMOH SOWE SET_ Halmet2,D,500,30,OMOH SOWE SET_ Halmet2,强化少尉头盔,奥摩专用道具
1010009701,B0097,OMOH SOWE SET_ Back Pack2,D,500,30,OMOH SOWE SET_ Back Pack2,强化少尉背包,奥摩专用道具
1010009801,B0098,OMOH SOWE SET_ legpouch2,D,500,30,OMOH SOWE SET_ legpouch2,强化少尉腿兜,奥摩专用道具
1010009901,B0099,OMOH SOWE SET_ Goggle2,D,500,30,OMOH SOWE SET_ Goggle2,强化少尉护目镜,奥摩专用道具
1010010001,B0100,RARA Default Helmet,D,0,999999999,RARA Default Helmet,woman hair,
1010010101,B0101,RARA Default Face,D,0,999999999,RARA Default Face,woman face,
1010010201,B0200,military backpack-SWAT,D,350,30,military backpack-SWAT,迷彩背包,装饰性的迷彩背包，造型特殊。
1010010301,B0201,military helmet-SWAT,D,350,30,military helmet-SWAT,迷彩头盔,装饰性的迷彩头盔，造型特殊。
2010000101,C0001,M4A1,W,12500,999999999,M4A1,M4A1,是美军制式步枪M16A2的简化和改良版本。总体平衡性很好.
2010000201,C0002,COLT1911,W,15000,999999999,COLT1911,COLT1911,Colt公司制作的0.45口径手枪。相比其它手枪具有较高威力优势.
2010000301,C0003,M700,W,9000,999999999,M700,M700,破坏力不是很高，但是机动性很强的轻型狙击步枪.
2010000401,C0004,MP5,W,8000,999999999,MP5,MP5,"后坐力小,优秀的射速和准确度弥补了威力上的不足，是一种容易上手的冲锋枪."
2010000501,C0005,M9,W,12000,999999999,M9,M9,威力较低，但具有优秀的准确度和高容量的装弹数.
2010000601,C0006,KNIFE,W,0,999999999,KNIFE,KNIFE,军用小刀
2010000701,C0007,GRENADE,W,3000,999999999,GRENADE,GRENADE,小型手榴弹. 在一定范围内可以造成很高的伤害，适用于杀伤小范围内的多个目标.
2010000801,C0008,FLASHBANG,W,5000,999999999,FLASHBANG,FLASHBANG,用手投掷的小型闪光弹. 无实际杀伤力，利用高频率声音和闪光让敌人暂时丧失听觉和视觉.
2010000901,C0009,SMOKE,W,4000,999999999,SMOKE,SMOKE,用手投掷的小型烟雾弹. 利用烟雾遮蔽一定范围的投掷类武器，主要用于阻碍敌人视野.
2010001001,C0010,AK-47,W,12000,999999999,AK-47,AK-47,以超强的破坏力而闻名，并且价格合理，是世界各国使用最为广泛的步枪。缺点是后坐力过大，较难控制。
2010001101,C0011,Steyr AUG A1,W,14000,999999999,Steyr AUG A1,Steyr AUG A1,突击形式的步枪。特点是装有瞄准镜，而且总体性能相当稳定。
2010001201,C0012,AWM,W,18000,999999999,AWM,AWM,使用限制较多，但是它每发子弹都具有恐怖的破坏力。仅此魅力已充分迷倒了诸多战士，是杀伤力极高的狙击步枪。
2010001301,C0013,PSG-1,W,30000,999999999,PSG-1,PSG-1,PSG-1是世界上最精密的半自动狙击步枪，在开镜状态下可以快速连续射击，造价昂贵。
2010001401,C0014,XM1014,W,19000,999999999,XM1014,XM1014,拥有散弹枪固有的强大威力，并具有超强连射性能的半自动枪械。
2010001501,C0015,K1A,W,33000,999999999,K1A,K1A,韩国大宇制造的冲锋枪，虽然连射速度稍差，但破坏力很强，类似于步枪。
2010001601,C0016,P90,W,9000,999999999,P90,P90,威力较弱，但是小而轻便，并且射速极快、弹匣容量大。是颇有人气的冲锋枪。
2010001701,C0017,M60,W,18000,999999999,M60,M60,作为冲锋用的机枪，相比步枪更加沉重和难以掌握。准确度偏低，但是具有惊人的破坏力和装弹数。
2010001801,C0018,USP,W,10000,999999999,USP,USP,准确度和装弹数都很优秀的手枪。是现在德国联邦军的制式手枪。
2010001901,C0019,SIG P228,W,5000,999999999,SIG P228,P228,瑞士SIG公司和德国Sauer公司共同研发的手枪，特点是射速快并且威力较大。
2010002001,C0020,Desert Eagle,W,9000,999999999,Desert Eagle,Desert Eagle,以色列IMI公司生产的手枪，以华丽的外型和高单发威力而闻名。
2010002101,C0021,UZI,W,6000,999999999,UZI,UZI,以色列IMI公司生产的冲锋枪，弹道和破坏力稍差，但重量较轻并且连射速度快。
2010002201,C0022,K-2,W,28000,999999999,K-2,K-2,专用于特种部队的枪支，虽然射速方面稍微存在劣势，但杀伤力很强，精准度很高，受到特种部队的广泛认可。
2010002301,C0023,DRAGUNOV,W,16000,999999999,DRAGUNOV,DRAGUNOV,前苏联在AK-47基础上改造的狙击步枪。它是半自动枪械，所以使用方便并且破坏力超强。
2010002401,C0024,SG552,W,14000,999999999,SG552,SG552,瑞士SIG公司生产的步枪，装有瞄准镜，破坏力不俗。
2010002501,C0025,M16,W,0,999999999,M16,M16,M16是美国的主力制式步枪，适用于任何环境。
2010002601,C0026,DRAGUNOV(PC),W,0,999999999,DRAGUNOV(PC),DRAGUNOV,前苏联在AK-47基础上改造的狙击步枪。它是半自动枪械，所以使用方便并且破坏力超强。
2010002701,C0027,AK-74,W,10000,999999999,AK-74,AK-74,AK改进型的一种。缩小了弹匣尺寸，可以使用小口径步枪子弹，便于携带。
2010002801,C0028,MP7,W,9500,999999999,MP7,MP7,H&K公司研制的MP7配备了特殊的子弹，射速极高并且造型前卫。适合近距离作战。
2010002901,C0029,FAMAS,W,10000,999999999,FAMAS,FAMAS,FAMAS采用无托式结构设计的FAMAS携带轻便，性能平衡，被许多国家所采用。
2010003001,C0030,XM8,W,14500,999999999,XM8,XM8,XM8H&K公司研制的XM8是一种高性能的新型步枪，但其耐用性较差，因此并未被广泛装备。
2010003101,C0031,G36K,W,17000,999999999,G36K,G36K,G36K是一把综合性能很强的短突击步枪，它设计严谨，耐用性好，已被德国联邦国防军装备。
2010003201,C0032,GALIL,W,9500,999999999,GALIL,Micro-GALIL,IMI公司为了替代UZI而研发的冲锋枪，威力较强，适合近距离战斗。
2010003301,C0033,COLT Anaconda,W,9000,999999999,COLT Anaconda,Anaconda,柯尔特公司生产的Anaconda拥有口径大、射击精度高、外型精致等特点。但缺点是只有6发子弹。
2010003501,C0035,Black carbon AXE 7day,W,700,7,Black carbon AXE 7day,轻型军用手斧,军用单手斧，比刀的威力稍大。
2010003502,C0035,Black carbon AXE 30day,W,2000,30,Black carbon AXE 30day,轻型军用手斧,军用单手斧，比刀的威力稍大。
2010003503,C0035,Black carbon AXE 90day,W,4000,90,Black carbon AXE 90day,轻型军用手斧,军用单手斧，比刀的威力稍大。
2010003601,C0036,SPAS-12,W,25000,999999999,SPAS-12,SPAS-12,SPAS-12拥有彪悍的外型和强大的火力，许多电影中都有它的身影出现。破坏力惊人，但射速较慢。
2010003701,C0037,Glock-18,W,5000,999999999,Glock-18,GLOCK-18,GLOCK-18
2010003801,C0038,M4A1-B 7 Day,W,500,7,M4A1-B 7 Day,M4A1-B,在M4A1的基础上进行了改进。
2010003802,C0038,M4A1-B 30 Day,W,1500,30,M4A1-B 30 Day,M4A1-B,在M4A1的基础上进行了改进。
2010003803,C0038,M4A1-B 90 Day,W,3000,90,M4A1-B 90 Day,M4A1-B,在M4A1的基础上进行了改进。
2010003901,C0039,MP5-B 7 Day,W,300,7,MP5-B 7 Day,MP5-B,在MP5的基础上进行了改进。
2010003902,C0039,MP5-B 30 Day,W,1000,30,MP5-B 30 Day,MP5-B,在MP5的基础上进行了改进。
2010003903,C0039,MP5-B 90 Day,W,2200,90,MP5-B 90 Day,MP5-B,在MP5的基础上进行了改进。
2010004001,C0040,AK-47-B 7 Day,W,500,7,AK-47-B 7 Day,AK-47-B,在AK-47的基础上进行了改进。
2010004002,C0040,AK-47-B 30 Day,W,1500,30,AK-47-B 30 Day,AK-47-B,在AK-47的基础上进行了改进。
2010004003,C0040,AK-47-B 90 Day,W,3000,90,AK-47-B 90 Day,AK-47-B,在AK-47的基础上进行了改进。
2010004101,C0041,Steyr AUG A1-B 7 Day,W,500,7,Steyr AUG A1-B 7 Day,Steyr AUG A1-B,在AUG的基础上进行了改进。
2010004102,C0041,Steyr AUG A1-B 30 Day,W,1500,30,Steyr AUG A1-B 30 Day,Steyr AUG A1-B,在AUG的基础上进行了改进。
2010004103,C0041,Steyr AUG A1-B 90 Day,W,3000,90,Steyr AUG A1-B 90 Day,Steyr AUG A1-B,在AUG的基础上进行了改进。
2010004201,C0042,AWM-B 7 Day,W,600,7,AWM-B 7 Day,AWM-B,在AWM的基础上进行了改进。
2010004202,C0042,AWM-B 30 Day,W,1800,30,AWM-B 30 Day,AWM-B,在AWM的基础上进行了改进。
2010004203,C0042,AWM-B 90 Day,W,3500,90,AWM-B 90 Day,AWM-B,在AWM的基础上进行了改进。
2010004301,C0043,Desert Eagle-B 7 Day,W,300,7,Desert Eagle-B 7 Day,Desert Eagle-B,在DesertEagle的基础上，进行了改进。
2010004302,C0043,Desert Eagle-B 30 Day,W,1000,30,Desert Eagle-B 30 Day,Desert Eagle-B,在DesertEagle的基础上，进行了改进。
2010004303,C0043,Desert Eagle-B 90 Day,W,2200,90,Desert Eagle-B 90 Day,Desert Eagle-B,在DesertEagle的基础上，进行了改进。
2010004401,C0044,SG552-B 7 Day,W,500,7,SG552-B 7 Day,SG552-B,在SG552的基础上进行了改进。
2010004402,C0044,SG552-B 30 Day,W,1500,30,SG552-B 30 Day,SG552-B,在SG552的基础上进行了改进。
2010004403,C0044,SG552-B 90 Day,W,3000,90,SG552-B 90 Day,SG552-B,在SG552的基础上进行了改进。
2010004505,C0045,M4A1-Silencer 3 Day,W,500,3,M4A1-Silencer 3 Day,M4A1-A,在M4A1-B的基础上进行了改进，使你在攻击时不容易被敌人发现。
2010004501,C0045,M4A1-Silencer 7 Day,W,1000,7,M4A1-Silencer 7 Day,M4A1-A,在M4A1-B的基础上进行了改进，使你在攻击时不容易被敌人发现。
2010004502,C0045,M4A1-Silencer 30 Day,W,3000,30,M4A1-Silencer 30 Day,M4A1-A,在M4A1-B的基础上进行了改进，使你在攻击时不容易被敌人发现。
2010004503,C0045,M4A1-Silencer 90 Day,W,5000,90,M4A1-Silencer 90 Day,M4A1-A,在M4A1-B的基础上进行了改进，使你在攻击时不容易被敌人发现。
2010004504,C0045,M4A1-Silencer 180 Day,W,7000,180,M4A1-Silencer 180 Day,M4A1-A,在M4A1-B的基础上进行了改进，使你在攻击时不容易被敌人发现。
2010004601,C0046,G36K 7 Day,W,1000,7,G36K 7 Day,G36K,德国的G36K综合性能优秀，其准确度可以媲美M4，并且点击右键可以切换3连发模式。
2010004602,C0046,G36K 30 Day,W,3000,30,G36K 30 Day,G36K,德国的G36K综合性能优秀，其准确度可以媲美M4，并且点击右键可以切换3连发模式。
2010004603,C0046,G36K 90 Day,W,6000,90,G36K 90 Day,G36K,德国的G36K综合性能优秀，其准确度可以媲美M4，并且点击右键可以切换3连发模式。
2010004604,C0046,G36K 180 Day,W,9500,180,G36K 180 Day,G36K,德国的G36K综合性能优秀，其准确度可以媲美M4，并且点击右键可以切换3连发模式。
2010004701,C0047,AWM-A 7 Day,W,1200,7,AWM-A 7 Day,AWM-A,在AWM-B的基础上进行了改进。
2010004702,C0047,AWM-A 30 Day,W,3600,30,AWM-A 30 Day,AWM-A,在AWM-B的基础上进行了改进。
2010004703,C0047,AWM-A 90 Day,W,6000,90,AWM-A 90 Day,AWM-A,在AWM-B的基础上进行了改进。
2010004704,C0047,AWM-A 180 Day,W,7500,180,AWM-A 180 Day,AWM-A,在AWM-B的基础上进行了改进。
2010001402,C0048,XM1014 ,W,999999,999999999,XM1014,XM1014,升级时赠送的 XM1014
2010001602,C0049,P90 ,W,999999,999999999,P90,P90,升级时赠送的 P90
2010002002,C0050,Desert Eagle ,W,999999,999999999,Desert Eagle,Desert Eagle,升级时赠送的 Desert Eagle
2010002702,C0051,AK-74 ,W,999999,999999999,AK-74,AK-74,升级时赠送的 AK-74
2010002902,C0052,FAMAS ,W,999999,999999999,FAMAS,FAMAS,升级时赠送的 FAMAS
2010000402,C0053,MP5 ,W,999999,999999999,MP5,MP5,升级时赠送的 MP5
2010000302,C0054,M700 ,W,999999,999999999,M700,M700,升级时赠送的 M700
2010001202,C0055,AWM ,W,999999,999999999,AWM,AWM,升级时赠送的 AWM
2010001002,C0056,AK-47 ,W,999999,999999999,AK-47,AK-47,升级时赠送的 AK-47
2010000102,C0057,M4A1 ,W,999999,999999999,M4A1,M4A1,升级时赠送的 M4A1
2010001902,C0058,P228 ,W,999999,999999999,P228,P228,升级时赠送的 P228
2010004801,C0059,Scar-Heavy 7Day,W,1000,7,Scar-Heavy 7Day,SCAR-Heavy,FN公司研制的Scar是新一代步枪的典范，它的性能出色，可靠性高。已被美国特种部队装备。
2010004802,C0059,Scar-Heavy 30Day,W,3000,30,Scar-Heavy 30Day,SCAR-Heavy,FN公司研制的Scar是新一代步枪的典范，它的性能出色，可靠性高。已被美国特种部队装备。
2010004803,C0059,Scar-Heavy 90Day,W,5000,90,Scar-Heavy 90Day,SCAR-Heavy,FN公司研制的Scar是新一代步枪的典范，它的性能出色，可靠性高。已被美国特种部队装备。
2010004804,C0059,Scar-Heavy 180Day,W,7000,180,Scar-Heavy 180Day,SCAR-Heavy,FN公司研制的Scar是新一代步枪的典范，它的性能出色，可靠性高。已被美国特种部队装备。
2010004901,C0060,XM8-B 7Day,W,500,7,XM8-B 7Day,XM8-B,在XM8的基础上进行了改进。
2010004902,C0060,XM8-B 30Day,W,1500,30,XM8-B 30Day,XM8-B,在XM8的基础上进行了改进。
2010004903,C0060,XM8-B 90 Day,W,3000,90,XM8-B 90 Day,XM8-B,在XM8的基础上进行了改进。
2010005101,C0062,AK-74-B 7DAY,W,400,7,AK-74-B 7DAY,AK-74-B,在AK-74的基础上进行了改进。
2010005102,C0062,AK-74-B 30DAY,W,1200,30,AK-74-B 30DAY,AK-74-B,在AK-74的基础上进行了改进。
2010005103,C0062,AK-74-B 90DAY,W,2500,90,AK-74-B 90DAY,AK-74-B,在AK-74的基础上进行了改进。
2010005201,C0063,FAMAS-B 7DAY,W,400,7,FAMAS-B 7DAY,FAMAS-B,在FAMAS的基础上进行了改进。
2010005202,C0063,FAMAS-B 30DAY,W,1200,30,FAMAS-B 30DAY,FAMAS-B,在FAMAS的基础上进行了改进。
2010005203,C0063,FAMAS-B 90DAY,W,2500,90,FAMAS-B 90DAY,FAMAS-B,在FAMAS的基础上进行了改进。
2010005301,C0064,QBZ95,W,24000,999999999,QBZ95,QBZ95,中国研制的95式步枪属于新一代无托步枪，它的火力强大，准确度也较高，但在人机工程学方面还有所欠缺。目前已被广泛装备，取代81式步枪。
2010005401,C0065,QBZ95-B 7DAY,W,700,7,QBZ95-B 7DAY,QBZ95-B,在QBZ95的基础上进行了改进。
2010005402,C0065,QBZ95-B 30DAY,W,2000,30,QBZ95-B 30DAY,QBZ95-B,在QBZ95的基础上进行了改进。
2010005403,C0065,QBZ95-B 90DAY,W,4000,90,QBZ95-B 90DAY,QBZ95-B,在QBZ95的基础上进行了改进。
2010005501,C0066,AK47 Dagger 7day,W,1000,7,AK47 Dagger 7day,AK-47-A,在AK-47的基础上进行了改进。
2010005502,C0066,AK47 Dagger 30day,W,3000,30,AK47 Dagger 30day,AK-47-A,在AK-47的基础上进行了改进。
2010005503,C0066,AK47 Dagger 90day,W,5000,90,AK47 Dagger 90day,AK-47-A,在AK-47的基础上进行了改进。
2010005504,C0066,AK47 Dagger 180day,W,7000,180,AK47 Dagger 180day,AK-47-A,在AK-47的基础上进行了改进。
2010005601,C0067,Desert Eagle-A 7day,W,600,7,Desert Eagle-A 7day,Desert Eagle-A,"在Desert Eagle的基础上，
进行了改进。"
2010005602,C0067,Desert Eagle-A 30day,W,2000,30,Desert Eagle-A 30day,Desert Eagle-A,"在Desert Eagle的基础上，
进行了改进。"
2010005603,C0067,Desert Eagle-A 90day,W,4400,90,Desert Eagle-A 90day,Desert Eagle-A,"在Desert Eagle的基础上，
进行了改进。"
2010005701,C0068,SG552-A 7day,W,900,7,SG552-A 7day,SG552-A,在SG552的基础上进行了改进，迷彩外观的SG552。
2010005702,C0068,SG552-A 30day,W,2600,30,SG552-A 30day,SG552-A,在SG552的基础上进行了改进，迷彩外观的SG552。
2010005703,C0068,SG552-A 90day,W,5200,90,SG552-A 90day,SG552-A,在SG552的基础上进行了改进，迷彩外观的SG552。
2010005704,C0068,SG552-A 180day,W,8800,180,SG552-A 180day,SG552-A,在SG552的基础上进行了改进，迷彩外观的SG552。
2010005801,C0069,RazerGun 7day,W,1200,7,RazerGun 7day,雷蛇冲锋枪,极具未来造型的冲锋枪，印有Razer标志，并可发出绿色火焰。近战威力强大。
2010005802,C0069,RazerGun 30day,W,3600,30,RazerGun 30day,雷蛇冲锋枪,极具未来造型的冲锋枪，印有Razer标志，并可发出绿色火焰。近战威力强大。
2010005803,C0069,RazerGun 90day,W,6800,90,RazerGun 90day,雷蛇冲锋枪,极具未来造型的冲锋枪，印有Razer标志，并可发出绿色火焰。近战威力强大。
2010005804,C0069,RazerGun 180day,W,9800,180,RazerGun 180day,雷蛇冲锋枪,极具未来造型的冲锋枪，印有Razer标志，并可发出绿色火焰。近战威力强大。
2010005901,C0070,AK 47 Gold 7day,W,2000,7,AK 47 Gold 7day,黄金AK-47,在AK-47的基础上进行了改进。
2010005902,C0070,AK 47 Gold 30day,W,6000,30,AK 47 Gold 30day,黄金AK-47,在AK-47的基础上进行了改进。
2010005903,C0070,AK 47 Gold 90day,W,12000,90,AK 47 Gold 90day,黄金AK-47,在AK-47的基础上进行了改进。
2010005904,C0070,AK 47 Gold 180day,W,18000,180,AK 47 Gold 180day,黄金AK-47,在AK-47的基础上进行了改进。
2010006001,C0071,M4A1-S 7day,W,1500,7,M4A1-S 7day,M4A1-S,在M4A1-A的基础上进行了改进。
2010006002,C0071,M4A1-S 30day,W,4500,30,M4A1-S 30day,M4A1-S,在M4A1-A的基础上进行了改进。
2010006003,C0071,M4A1-S 90day,W,7000,90,M4A1-S 90day,M4A1-S,在M4A1-A的基础上进行了改进。
2010006004,C0071,M4A1-S 180day,W,8800,180,M4A1-S 180day,M4A1-S,在M4A1-A的基础上进行了改进。
2010006101,C0072,QBZ95-A 7day,W,1200,7,QBZ95-A 7day,QBZ95-A,在QBZ95-B的基础上进行了改进。
2010006102,C0072,QBZ95-A 30day,W,3600,30,QBZ95-A 30day,QBZ95-A,在QBZ95-B的基础上进行了改进。
2010006103,C0072,QBZ95-A 90day,W,6000,90,QBZ95-A 90day,QBZ95-A,在QBZ95-B的基础上进行了改进。
2010006104,C0072,QBZ95-A 180day,W,7500,180,QBZ95-A 180day,QBZ95-A,在QBZ95-B的基础上进行了改进。
